,g_id_right,popTot,id,avg,lamb
144,156.0,461,47,28.64473684210527,0.034910427193385385
146,158.0,254,102,15.735897435897435,0.06354896529248819
147,159.0,1863,169,7.981617647058823,0.12528788576692768
148,160.0,1584,814,1.7853410341034102,0.5601170761765386
149,161.0,244,18,89.66319444444444,0.011152848236068621
151,163.0,30,9,168.825,0.005923293351103214
154,166.0,9,9,146.22916666666666,0.006838580994443654
157,171.0,598,1039,1.370288013553579,0.729773587821652
158,172.0,2434,244,6.2931201550387605,0.1589036877357764
159,173.0,2735,280,5.509729272419628,0.18149712092130516
160,174.0,2488,256,6.191287878787879,0.16151728357295808
161,175.0,1507,426,3.45,0.2898550724637681
162,176.0,26,6,234.45833333333334,0.00426515016882886
167,181.0,15,10,87.96759259259258,0.011367822746171256
169,183.0,39,13,119.70833333333334,0.00835363731291333
170,184.0,203,46,25.55769230769231,0.039127163280662146
171,185.0,1133,278,5.440025252525253,0.1838226761053731
172,186.0,229,49,30.094047619047622,0.03322916254598678
173,187.0,124,23,71.83630952380953,0.013920536934996062
174,188.0,67,10,150.46666666666667,0.00664599025254763
175,189.0,94,23,84.62878787878789,0.011816310088622325
176,193.0,1485,263,5.8844594594594595,0.1699391434148582
177,194.0,2399,505,2.8968888888888893,0.34519791347038964
178,195.0,2593,347,3.930555555555555,0.2544169611307421
179,196.0,2391,402,3.733131487889273,0.26787162553585914
180,197.0,1184,169,8.602333333333334,0.11624752973999301
181,198.0,66,48,29.636363636363637,0.03374233128834356
182,199.0,22,10,102.671875,0.009739765636889362
185,202.0,592,345,4.470188284518828,0.22370422370422371
186,203.0,1001,418,3.4611288604898833,0.2889230769230769
187,204.0,521,131,11.015463917525773,0.09078146934955546
188,205.0,48,17,61.98717948717948,0.01613236814891417
189,206.0,5,11,132.39583333333334,0.007553107789142407
190,207.0,59,23,67.50520833333334,0.014813671784584521
191,208.0,14,6,64.51666666666667,0.015499870834409714
193,210.0,95,8,207.39583333333334,0.004821697639377197
194,211.0,292,52,26.940625,0.03711866372810579
195,212.0,288,59,23.48611111111111,0.04257835600236547
197,214.0,88,22,53.53333333333334,0.0186799501867995
198,215.0,146,32,53.853070175438596,0.01856904344993281
199,216.0,384,61,21.381944444444443,0.04676843130886652
200,217.0,51,11,448.375,0.002230275996654586
201,218.0,65,7,141.19444444444446,0.007082431634861302
202,219.0,277,28,61.98437500000001,0.016133098058986637
203,220.0,64,40,29.413580246913583,0.03399790136411333
204,221.0,1547,178,8.567333333333332,0.11672243405182478
205,222.0,2025,511,2.7244556113902845,0.36704580387334773
206,223.0,2796,1096,1.3409609796596098,0.7457338544286654
207,224.0,3213,296,5.036072530864197,0.19856743402152682
208,225.0,2359,361,4.071741854636592,0.24559513733938598
209,226.0,546,97,17.333333333333336,0.05769230769230768
210,227.0,108,58,23.658514492753625,0.042268080707530915
211,228.0,2,6,338.77777777777777,0.0029517874713020664
212,229.0,20,14,84.90625,0.011777695988222304
217,234.0,8,10,123.65277777777779,0.008087161630910928
218,236.0,49,7,105.58333333333333,0.009471191791633781
219,237.0,98,18,76.86607142857143,0.013009641073295388
221,239.0,8,10,127.83928571428571,0.007822321553289565
222,240.0,4,7,143.325,0.006977149834292692
224,242.0,140,31,42.97420634920635,0.023269772380996354
225,243.0,1350,170,8.562992125984252,0.1167816091954023
226,244.0,2641,369,4.278543307086614,0.23372440763745114
227,245.0,1565,576,2.410435267857143,0.41486283134622065
228,246.0,117,18,72.64880952380952,0.013764850471118395
229,247.0,34,17,62.31249999999999,0.016048144433299903
230,248.0,6,10,94.25000000000001,0.010610079575596815
231,249.0,18,18,65.26666666666668,0.0153217568947906
236,254.0,250,43,29.97979797979798,0.03335579514824798
240,258.0,428,53,22.522644927536234,0.0443997586969636
241,259.0,358,100,14.442777777777776,0.06923875831826751
242,260.0,52,15,101.9875,0.00980512317685991
243,261.0,430,32,44.56349206349206,0.022439893143365985
244,262.0,468,36,40.78685897435897,0.024517700679737537
245,263.0,1547,171,7.985074626865671,0.1252336448598131
246,264.0,1235,188,7.58595571095571,0.13182254657192244
247,265.0,808,151,10.555964052287582,0.09473317596068263
248,266.0,3304,1094,1.3115875912408759,0.7624347826086957
249,267.0,2867,221,6.850104821802934,0.1459831675592961
250,268.0,3040,640,2.3431425485961124,0.4267772784883051
251,269.0,3066,659,2.2149931693989067,0.451468660858839
252,270.0,2828,978,1.5491391678622668,0.6455197962491318
253,271.0,884,137,10.795792079207922,0.0926286827926172
254,272.0,7,7,417.9375,0.002392702258112756
255,273.0,6,8,175.96666666666664,0.0056828944875923475
256,275.0,89,8,222.1111111111111,0.004502251125562782
257,278.0,190,24,64.28846153846155,0.015554890816631766
258,279.0,410,60,20.058333333333334,0.04985459077690071
259,280.0,300,42,34.86494252873563,0.028682106651281628
260,281.0,313,133,11.535256410256412,0.0866907474298416
261,282.0,46,22,52.625,0.019002375296912115
262,283.0,49,14,67.12152777777777,0.014898349800838033
267,288.0,87,11,126.66071428571429,0.007895107852812631
268,289.0,92,26,53.42824074074074,0.018716693384168797
269,290.0,49,6,143.95833333333331,0.00694645441389291
271,292.0,6,6,213.0,0.004694835680751174
272,293.0,17,7,112.70833333333333,0.008872458410351202
273,294.0,36,9,130.83854166666669,0.007643007842044504
274,295.0,119,8,104.55555555555554,0.009564293304994687
275,296.0,878,169,8.06171679197995,0.12404305755255896
276,297.0,1644,326,4.637681159420289,0.21562500000000004
277,298.0,1358,324,4.2934782608695645,0.23291139240506334
278,299.0,1243,292,5.057945736434109,0.19770872447220197
279,300.0,17,26,48.55555555555556,0.020594965675057208
280,301.0,53,37,36.668103448275865,0.02727165863406606
283,306.0,47,11,108.46875,0.009219245174301354
286,310.0,34,8,145.52777777777777,0.006871540370299676
287,311.0,72,8,182.34375,0.005484147386461011
288,313.0,421,61,27.797008547008545,0.03597509416557768
289,314.0,1219,267,5.470538720538721,0.18279735343899062
290,315.0,274,1060,1.4364735907678652,0.6961492410490131
291,317.0,540,57,25.23015873015873,0.03963510537905002
292,318.0,2407,409,3.6251388888888885,0.27585149994253094
293,319.0,526,283,5.1632447665056365,0.1936766597793458
294,320.0,1933,307,4.9703746177370025,0.20119207844645262
295,321.0,2066,184,7.8357843137254894,0.12761964341570223
296,322.0,2652,361,4.252287581699346,0.2351675376575469
297,323.0,2395,235,6.6135670731707314,0.15120433329491761
298,324.0,2546,435,3.790214866434378,0.2638372850193435
299,325.0,536,49,33.27473958333333,0.030052827235374686
300,326.0,246,50,28.70023148148148,0.034842924547324274
301,327.0,13,8,218.51041666666669,0.004576440863803212
302,328.0,29,10,117.75,0.008492569002123142
303,329.0,17,9,41.708333333333336,0.023976023976023976
304,331.0,24,6,103.1111111111111,0.009698275862068966
305,332.0,41,38,45.09420289855072,0.022175799453639726
306,333.0,29,17,88.62152777777777,0.011283939975708186
307,335.0,583,78,20.17978395061728,0.049554544411730975
308,336.0,1359,213,6.366421568627452,0.15707410972088545
309,337.0,656,175,8.253498727735368,0.12116073837142088
310,338.0,1189,232,6.496756487025949,0.15392296171127923
311,339.0,121,18,79.08680555555554,0.012644334196777452
312,340.0,53,12,114.63020833333331,0.008723703939297561
314,342.0,24,8,62.56944444444445,0.015982241953385126
316,345.0,33,8,481.35416666666663,0.002077472408569574
319,350.0,18,7,152.47222222222223,0.006558571688832209
320,351.0,28,14,82.025,0.012191405059433098
322,353.0,42,12,70.0324074074074,0.014279103589607987
324,355.0,30,16,63.357142857142854,0.015783540022547914
325,356.0,323,44,31.604797979797983,0.031640765450840956
327,358.0,46,8,252.30555555555554,0.003963448199933943
328,359.0,19,16,71.72115384615384,0.013942887786566565
329,361.0,22,14,173.9375,0.005749191519942508
330,362.0,39,11,102.57870370370371,0.009748612176738728
331,363.0,64,12,71.60648148148148,0.0139652162668908
332,364.0,27,8,145.19166666666666,0.006887447626700339
338,371.0,44,14,94.0324074074074,0.010634631480478558
339,372.0,224,236,6.846174004192872,0.146066985645933
340,373.0,1205,303,5.748677248677248,0.17395306028531984
341,374.0,731,149,11.292534722222221,0.08855407794603737
342,375.0,271,45,32.5625,0.030710172744721688
344,377.0,885,352,5.007237871674492,0.19971090362151814
345,378.0,4265,1446,0.959653092006033,1.0420432220039295
346,379.0,3278,868,1.7837726523887973,0.5606095589933041
347,380.0,4367,532,2.90091599642538,0.34471870306904384
348,381.0,3802,820,1.8454415954415957,0.5418757236588189
